,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,1838,60,258,240,144,63,349,86,729,233
automobile,235,1342,62,119,28,45,319,83,288,1479
bird,426,21,598,634,500,299,1079,257,86,100
cat,141,22,447,611,340,619,1212,355,115,138
deer,217,12,536,585,529,169,1423,401,79,49
dog,115,8,308,1168,201,634,1071,275,152,68
frog,90,6,438,839,374,183,1821,137,73,39
horse,312,9,106,641,546,352,522,1385,38,89
ship,1204,133,95,209,59,54,318,62,1451,415
truck,492,1100,67,236,17,86,392,202,230,1178
