,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,1344,47,611,177,372,111,238,122,813,165
automobile,282,1243,214,128,71,59,491,122,254,1136
bird,441,29,501,315,702,482,1006,354,108,62
cat,145,27,1013,334,612,599,722,373,99,76
deer,198,16,1254,257,345,307,1124,374,99,26
dog,131,13,1038,581,298,620,917,255,116,31
frog,108,9,1145,714,619,345,795,186,51,28
horse,236,4,362,432,764,493,662,957,50,40
ship,1185,98,301,146,249,95,317,112,1242,255
truck,400,861,263,282,79,132,508,228,248,999
